Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
Brainfork,2004,,turing complete,implemented,cell-based; concurrent programming,brainfuck derivatives; languages; low-level
Wierd,1997,,unknown computational class,implemented,stack-based,two-dimensional languages; low-level; languages
PATH,2003,,turing complete; turing tarpits,implemented,cell-based,languages; two-dimensional languages; low-level
SNUSP,2003,,turing complete,implemented,cell-based,two-dimensional languages; languages
Smallfuck,2002,,bounded-storage machine,no io; implemented,cell-based,languages; brainfuck derivatives
Spoon,1998,,turing complete,implemented,cell-based,brainfuck derivatives; languages; low-level
LNUSP,2004,,turing complete,implemented,cell-based,languages; two-dimensional languages
Kipple,2003,,turing complete; turing tarpits,non-interactive io; implemented,stack-based,languages; low-level
SMETANA,1994,,finite state automata,implemented; no io,,languages
Homespring,2003,,,implemented,,languages; high-level; thematic
Oroogu,2000,,,implemented,queue-based,languages
ODDBALL,,,,unimplemented,,languages; meta-languages
ORK,2005,object-oriented paradigm,turing complete,implemented,,languages; high-level
Whitespace,2003,,,implemented,stack-based,languages; low-level
Muriel,2001,,turing complete,implemented,,languages
2L,2005,,turing complete,implemented,cell-based,languages; brainfuck derivatives; two-dimensional languages; low-level
ALPACA,1998,,,implemented,,languages; meta-languages
Argh!,2004,,turing complete,implemented,cell-based; stack-based,languages; two-dimensional languages
Aura,2004,,unknown computational class,implemented,,languages; low-level
Whirl,2004,,turing tarpits,implemented,,languages; low-level
Whenever,2001,,unknown computational class,implemented,,languages; high-level
SMITH,2000,,turing complete,implemented,cell-based,languages; low-level
TMMLPTEALPAITAFNFAL,2000,,unknown computational class,implemented,,languages; joke languages
Numberix,2000,,turing complete,implemented,cell-based,languages; two-dimensional languages; low-level
Iota,2001,functional paradigm,turing tarpits,no io; implemented,,languages
Befreak,2003,,,implemented,,languages; two-dimensional languages
Befunge,1993,,push-down automata; turing complete,implemented,stack-based,languages; two-dimensional languages; low-level
Piet,2001,,turing complete,implemented,stack-based,languages; two-dimensional languages; low-level; thematic
Malbolge,1998,,finite state automata,usability unknown; implemented,cell-based,languages
FALSE,1993,,turing complete,implemented,stack-based,languages; low-level
Choon,2002,,turing complete,implemented,,languages
OISC,,,,concepts,,
Chef,2002,,turing complete,implemented,stack-based,languages; low-level; thematic
Bullfrog,,,,implemented,stack-based,languages; low-level
Kayak,2002,,turing complete,,,languages
Lazy K,2002,functional paradigm,turing tarpits; turing complete,implemented,,languages
RUBE,1997,,,usability unknown; implemented,,languages; two-dimensional languages
L00P,2001,,,implemented,,languages; brainfuck derivatives
Dis,1998,,bounded-storage machine,usability unknown; implemented,cell-based,languages
Jot,2001,functional paradigm,turing complete; turing tarpits,no io; implemented,,languages
BIT,2004,,unknown computational class,implemented,cell-based,low-level; languages
NULL,,,,implemented,queue-based,low-level; languages
BDAMD,2003,,,implemented,cell-based,languages; two-dimensional languages; low-level
INTERCAL,,,turing complete,implemented,,languages; low-level
Blank,1997,,unknown computational class,implemented,stack-based,languages
Bubble,2001,,,unimplemented,,languages
ETA,1999,,,implemented,stack-based,languages
Fromage,2000,,,implemented,,languages
GOTO++,2002,,unknown computational class,implemented,,languages
Java2K,2000,,,implemented,,languages
REDGREEN,1999,,,implemented,cellular automata,languages; two-dimensional languages
SARTRE,,,,unimplemented,,joke languages; languages
Sorted!,2000,,,,,languages
Thue,2000,,turing complete; turing tarpits,implemented,,languages; low-level
True,1999,,,implemented,,languages
3code,2004,,unknown computational class,implemented,,languages
Spiral,2003,,,implemented,deque-based,two-dimensional languages; languages
Toadskin,,,turing complete; turing tarpits,implemented,stack-based,languages; brainfuck derivatives
Unlambda,1999,functional paradigm,turing tarpits; turing complete,implemented,,languages
ZT,2002,,,implemented,,two-dimensional languages; languages
Sortle,2005,,turing complete,output only; implemented,,high-level; languages
Aheui,2005,,turing complete,implemented,stack-based; queue-based,languages; two-dimensional languages; cjk
ZOMBIE,2004,,,implemented,,languages; thematic; high-level
PingPong,2001,object-oriented paradigm,turing complete,implemented,stack-based,languages; two-dimensional languages; low-level
Ypsilax,2001,,turing complete,implemented,,languages; two-dimensional languages
2iota,2004,,turing tarpits; turing complete,implemented,,languages
Version,2001,,,implemented,,languages; high-level
Strelnokoff,2001,,turing complete,implemented,,languages
Brackets,2000,,unknown computational class,usability unknown; implemented,,languages; low-level
0x29A,2004,,turing complete,implemented,stack-based,languages; low-level
Ale,2003,,,implemented,cell-based,languages; low-level
Emoticon,2004,,turing complete,implemented,,languages; thematic
Enema,2002,,,implemented,stack-based,languages
REVERSE,,,turing tarpits,implemented,,languages
BFM,2001,,,,,languages; brainfuck derivatives
Boolfuck,2004,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck derivatives; low-level
BogusForth,2004,,turing complete,implemented,stack-based,languages
Fortuna,,,unknown computational class,unimplemented,,languages; brainfuck derivatives
