Language,URL,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features,Abstract
Brainfork,https://esolangs.org/wiki/Brainfork,2004,,turing complete,implemented,cell-based; concurrent programming,brainfuck derivatives; languages; low-level,"Brainfork is a multithreaded variant of Brainfuck, invented by Asger Ipsen in 2004. Brainfork retains Brainfuck's eight commands and adds a ninth, Y, for forking."
Wierd,https://esolangs.org/wiki/Wierd,1997,,unknown computational class,implemented,stack-based,two-dimensional languages; low-level; languages,"Wierd is a graphical language developed by Chris Pressey, Ben Olmstead, and John Colagioia, in 1997."
PATH,https://esolangs.org/wiki/PATH,2003,,turing complete; turing tarpits,implemented,cell-based,languages; two-dimensional languages; low-level,"PATH, invented by Francis Rogers in August 2003, is a two-dimensional language inspired by Brainfuck and Befunge. PATH's environment, like Brainfuck's, consists of an array of memory cells all initialized to zero and character-based standard input and output. PATH understands the following commands:"
SNUSP,https://esolangs.org/wiki/SNUSP,2003,,turing complete,implemented,cell-based,two-dimensional languages; languages,"SNUSP (SNUSP's Not Unix, but a Structured Path) is a language with a two-dimensional code space, inspired by PATH. SNUSP is more orthogonal, specifies semantics more concretely, and optionally allows more advanced features."
Smallfuck,https://esolangs.org/wiki/Smallfuck,2002,,bounded-storage machine,no io; implemented,cell-based,languages; brainfuck derivatives,"Smallfuck is an esoteric programming language invented by Nikita Ayzikovsky around March 2002 for the purpose of compiling it to SMETANA.  It is a sized-down version of Brainfuck that operates only on bits, has limited data storage, and does not define input or output."
Spoon,https://esolangs.org/wiki/Spoon,1998,,turing complete,implemented,cell-based,brainfuck derivatives; languages; low-level,Spoon is a Brainfuck derivative invented by S. Goodwin in 1998. It uses Huffman-coded binary sequences to represent each instruction.
LNUSP,https://esolangs.org/wiki/LNUSP,2004,,turing complete,implemented,cell-based,languages; two-dimensional languages,LNUSP is a language with a two-dimensional data space and code space and 5 commands.
Kipple,https://esolangs.org/wiki/Kipple,2003,,turing complete; turing tarpits,non-interactive io; implemented,stack-based,languages; low-level,"Kipple is a minimalistic esoteric programming language with a set of  stacks, four operators, and a single control structure. Kipple was designed by Rune Berge in March, 2003."
SMETANA,https://esolangs.org/wiki/SMETANA,1994,,finite state automata,implemented; no io,,languages,"SMETANA, the Self-Modifying Extremely Tiny AutomatoN Application, is a language operating on a series of steps, with two instructions. It was invented around 1994 by Chris Pressey. ""Smetana"" means ""sour cream"" in Russian and Ukrainian languages. It also means ""cream"" in Czech and is the surname of a Czech composer."
Homespring,https://esolangs.org/wiki/Homespring,2003,,,implemented,,languages; high-level; thematic,"Homespring, alternatively HOtMEfSPRIbNG, is a high-level esoteric programming language created by Jeff Binder in 2003 with the express intention of being far higher level than anyone would ever reasonably need or want."
Oroogu,https://esolangs.org/wiki/Oroogu,2000,,,implemented,queue-based,languages,"Oroogu is a language created by Georg Kraml based around the queue as its sole data structure and a ""While Object X Contains One or More Items"" loop as its main system of flow control. Original documentation is difficult to come by since Kraml's site went down, but the language is simple enough to give a basic overview."
ODDBALL,https://esolangs.org/wiki/ODDBALL,,,,unimplemented,,languages; meta-languages,"ODDBALL, possibly an acronym for One Dimensional Deterministic Bully Automaton Layout Language, was created some time in the early 2000's by Tristan Parker for some reason or another. Its roots can be traced back to Lisp and ALPACA, though why anyone would do that is beyond me. In 2005, ODDBALL was released into the public domain, not through any sense of community enrichment, but out of sheer laziness."
ORK,https://esolangs.org/wiki/ORK,2005,object-oriented paradigm,turing complete,implemented,,languages; high-level,"ORK (Objekts R Kool), designed by Gregor Richards in 2005, is an object-oriented language that has a very verbose syntax, unlike most other esoteric programming languages.  It's object oriented to such a degree, that even simple operations (addition, subtraction, comparisons) require the instantiation of an object. According to the spec, its divine purpose in existance is to be the polar opposite of Brainfuck."
Whitespace,https://esolangs.org/wiki/Whitespace,2003,,,implemented,stack-based,languages; low-level,"Whitespace, designed in 2003 by Edwin Brady and Chris Morris, is an imperative, stack-based, esoteric programming language that uses only whitespace characters—space, tab, and linefeed—as syntax. All other characters are ignored. Whitespace got a brief moment of fame when it was posted on Slashdot on April 1st, 2003. Most people took it as an April Fool's joke, while it wasn't."
Muriel,https://esolangs.org/wiki/Muriel,2001,,turing complete,implemented,,languages,Muriel is an esoteric programming language designed by Matthew Westcott in 2001.
2L,https://esolangs.org/wiki/2L,2005,,turing complete,implemented,cell-based,languages; brainfuck derivatives; two-dimensional languages; low-level,"2L (the Two Language), designed by Gregor Richards, is an esoteric programming language derived loosely from the PATH programming language and Brainfuck.  2L is Turing Complete."
ALPACA,https://esolangs.org/wiki/ALPACA,1998,,,implemented,,languages; meta-languages,ALPACA is a meta-language designed by Chris Pressey sometime around 1997-1999.  The name stands for A Language for Programming Arbitrary Cellular Automata.
Argh!,https://esolangs.org/wiki/Argh!,2004,,turing complete,implemented,cell-based; stack-based,languages; two-dimensional languages,"Argh! and its successor Aargh!, both invented by Sascha Wilde, are Befunge-like esoteric programming languages, laid out in two dimensions. Each is limited to 80 columns wide, but Aargh! has an unlimited number of rows, whereas Argh! is limited to 40. The idea was to make sure Aargh! was Turing-complete."
Aura,https://esolangs.org/wiki/Aura,2004,,unknown computational class,implemented,,languages; low-level,"Aura is an esoteric programming language invented by Jamie Aczel. It is inspired by Brainfuck, but its logic is more like Malbolge."
Whirl,https://esolangs.org/wiki/Whirl,2004,,turing tarpits,implemented,,languages; low-level,"Whirl is an esoteric programming language invented by Sean Heber (2004), with only two instructions, 0 and 1. These instructions rotate the Operations Ring and the Maths Ring, each of which has 12 sectors. The language therefore has 24 actual commands. The task of remembering the current orientation of each ring is left to the programmer."
Whenever,https://esolangs.org/wiki/Whenever,2001,,unknown computational class,implemented,,languages; high-level,"Whenever is an esoteric programming language by David Morgan-Mar, with no sense of urgency. The program code is like a to-do list: the interpreter is free to execute statements in any order it chooses. However, a line may contain a clause specifying that it cannot be executed until certain conditions are true. There are no control flow structures or variables."
SMITH,https://esolangs.org/wiki/SMITH,2000,,turing complete,implemented,cell-based,languages; low-level,"SMITH, for Self-Modifying Indecent Turing Hack, is an esoteric programming language designed by Chris Pressey in 2000.  It has no jumps whatsoever; the instruction pointer can only be incremented, and only by one instruction at a time. As a substitute for loops, the language allows code to be copied forward where it will be executed in the future."
TMMLPTEALPAITAFNFAL,https://esolangs.org/wiki/TMMLPTEALPAITAFNFAL,2000,,unknown computational class,implemented,,languages; joke languages,"TMMLPTEALPAITAFNFAL (The Multi-Million Language Project To End All Language Projects And Isn't That A Fine Name For A Language) is an esoteric programming language devised by Gerson Kurz. Actually, it is not only one language; it is a new language for each day. Based on a unique-day-index (relative to January 1, 1900) a new allowed set of commands and arbitrary limits for variable names take place. However the syntax of the language does not change and looks mostly like some BASIC dialect. For example, on August 16, 2004, the following rules applied:"
Numberix,https://esolangs.org/wiki/Numberix,2000,,turing complete,implemented,cell-based,languages; two-dimensional languages; low-level,"Numberix is an esoteric programming language by Jeffry Johnston that was designed to make the source appear as lines of hex digits. It could be described as a mix of Befunge, Assembly, Brainfuck, Wierd, BASIC and INTERCAL."
Iota,https://esolangs.org/wiki/Iota,2001,functional paradigm,turing tarpits,no io; implemented,,languages,"Iota is a Turing tarpit designed by Chris Barker, based in combinatory logic.  It uses only two symbols, * and i, but not every combination of them is syntactically correct; e.g. *i*ii is correct but *iii is not, as opposed to its ""sister language"" Jot in which every string of symbols is valid."
Befreak,https://esolangs.org/wiki/Befreak,2003,,,implemented,,languages; two-dimensional languages,"Befreak is a purely reversible programming language, by virtue of the fact that every instruction is reversible. This means it is impossible to destroy data in any way. Befreak seems to have been invented by Brent Kerby and Hilton Campbell."
